metro13,metro_title,change_ln_population,not_lbfr_share_prime_change,unemployed_share_prime_change,non_hc_share_prime_change,hc_emp_share_prime_change,manu_share_prime_change,non_manu_share_prime_change,manufacturing_share_prime1980,ln_msa_pop2022,ln_msa_pop1980,medicare_share1980,medicare_share2022,change_medicare_share,ln_aearn1980,ln_aearn2022,change_earnings,college1980,college2022,change_college,healthcare_share_prime2022,healthcare_share_prime1980,change_non_hc_share_lbfr,change_ln_non_hc,non_hc_manu_share_prime_change
12260,"Augusta-Richmond County, GA-SC",0.4434,-0.04714,0.002912,0.03788,0.006346,-0.1011,0.1453,0.1929,13.32,12.87,0.08709,0.1745,0.08738,10.26,10.8,0.5405,0.1215,0.2671,0.1456,0.08759,0.08124,-0.0156,0.4645,0.138982
12420,"Austin-Round Rock, TX",1.403,-0.05963,-0.000939,0.04089,0.01968,-0.03155,0.09211,0.09743,14.68,13.28,0.08331,0.1187,0.03537,10.3,11.08,0.7822,0.2491,0.4742,0.225,0.07485,0.05517,-0.01808,1.537,0.072439
12540,"Bakersfield, CA",0.7917,-0.02463,0.000463,-0.009111,0.03328,-0.001514,0.02568,0.04898,13.7,12.91,0.09671,0.1187,0.02201,10.4,10.73,0.3245,0.1064,0.1703,0.06397,0.0738,0.04052,-0.03154,0.7736,-0.007599
12580,"Baltimore-Columbia-Towson, MD",0.2337,-0.09094,-0.01301,0.06349,0.04045,-0.0813,0.1852,0.1254,14.84,14.6,0.1009,0.1681,0.06711,10.53,11.08,0.5509,0.1565,0.4099,0.2534,0.1069,0.06644,-0.03688,0.3019,0.14480001
12940,"Baton Rouge, LA",0.3304,-0.1181,0.003845,0.05437,0.05986,-0.04987,0.1641,0.126,13.62,13.29,0.07554,0.153,0.07741,10.42,10.8,0.3854,0.1618,0.276,0.1142,0.1064,0.04655,-0.05049,0.4593,0.104265
13820,"Birmingham-Hoover, AL",0.2132,-0.08642,-0.01117,0.0517,0.04589,-0.06179,0.1594,0.138,13.96,13.74,0.1176,0.1739,0.05628,10.4,10.84,0.432,0.1347,0.3196,0.185,0.1106,0.06471,-0.04022,0.31,0.11349
14260,"Boise City, ID",1.046,-0.0475,-0.03575,0.02485,0.0584,-0.03283,0.1161,0.1008,13.59,12.54,0.09843,0.1583,0.05983,10.36,10.87,0.5153,0.1627,0.3406,0.1779,0.1105,0.05207,-0.06179,1.068,0.05768
14460,"Boston-Cambridge-Newton, MA-NH",0.1855,-0.09157,-0.002646,0.06051,0.0337,-0.09221,0.1864,0.1696,15.37,15.19,0.1201,0.1723,0.05221,10.53,11.23,0.7059,0.2116,0.4827,0.2711,0.1088,0.07511,-0.02839,0.2946,0.15272599
14860,"Bridgeport-Stamford-Norwalk, CT",0.1432,-0.06458,0.007954,0.0236,0.03302,-0.1683,0.2249,0.2321,13.74,13.6,0.1139,0.1683,0.05441,10.72,11.27,0.5483,0.2377,0.4675,0.2299,0.08611,0.05309,-0.03178,0.1954,0.19190601
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",-0.09619,-0.1011,-0.03155,0.09091,0.04174,-0.1021,0.2348,0.1955,13.94,14.03,0.1234,0.1957,0.07232,10.54,10.93,0.387,0.1394,0.3419,0.2025,0.1062,0.06443,-0.03387,-0.001291,0.19301
15980,"Cape Coral-Fort Myers, FL",1.372,-0.06977,-0.001408,0.02985,0.04132,-0.009275,0.08045,0.04229,13.6,12.23,0.2235,0.2928,0.06934,10.32,10.78,0.4528,0.125,0.2967,0.1716,0.1027,0.06136,-0.03294,1.467,0.039133001
16700,"Charleston-North Charleston, SC",0.6367,-0.08604,-0.0176,0.06671,0.03692,-0.05233,0.156,0.1335,13.61,12.97,0.0687,0.1674,0.09871,10.28,10.93,0.6453,0.1343,0.3772,0.2429,0.09611,0.05918,-0.03666,0.7226,0.11905
16740,"Charlotte-Concord-Gastonia, NC-SC",0.8634,-0.0358,-0.001507,-0.005503,0.04281,-0.1811,0.2184,0.274,14.81,13.94,0.09764,0.1448,0.04715,10.34,10.95,0.605,0.1287,0.3729,0.2442,0.08282,0.04001,-0.04259,0.8788,0.175597
16980,"Chicago-Naperville-Elgin, IL-IN-WI",0.1436,-0.08198,-0.007085,0.05823,0.03084,-0.1019,0.1909,0.1927,16.05,15.9,0.09862,0.1601,0.0615,10.65,11.02,0.3723,0.1657,0.3772,0.2116,0.0874,0.05657,-0.0296,0.2197,0.160125
17140,"Cincinnati, OH-KY-IN",0.2341,-0.09331,-0.01976,0.05874,0.05433,-0.08801,0.2011,0.2067,14.6,14.37,0.1066,0.1644,0.0578,10.52,10.95,0.4277,0.1418,0.3387,0.1969,0.111,0.05664,-0.05058,0.3284,0.14675
17460,"Cleveland-Elyria, OH",-0.07241,-0.09082,-0.01015,0.03231,0.06866,-0.1122,0.2132,0.2228,14.52,14.59,0.1132,0.1966,0.0834,10.62,10.93,0.3064,0.1416,0.3347,0.1931,0.1318,0.06309,-0.06334,-0.03771,0.14451
17820,"Colorado Springs, CO",0.851,-0.07755,-0.01259,0.04875,0.04139,-0.04459,0.1347,0.09305,13.52,12.67,0.06736,0.1469,0.07953,10.28,10.93,0.6455,0.1809,0.3862,0.2053,0.08656,0.04517,-0.04622,0.8743,0.093340002
17900,"Columbia, SC",0.4971,-0.054,0.005334,0.01336,0.03531,-0.06913,0.1178,0.1475,13.62,13.12,0.07951,0.1618,0.08224,10.28,10.78,0.4972,0.1785,0.3322,0.1537,0.09832,0.06301,-0.03186,0.5153,0.082486004
18140,"Columbus, OH",0.4658,-0.09309,-0.01046,0.05068,0.05287,-0.08916,0.1927,0.1624,14.56,14.1,0.09094,0.1445,0.05355,10.46,10.96,0.5003,0.1666,0.3637,0.1971,0.1066,0.05373,-0.0463,0.5451,0.13984001
19100,"Dallas-Fort Worth-Arlington, TX",0.9601,-0.04034,0.009754,-0.009622,0.04021,-0.1065,0.137,0.1753,15.89,14.93,0.084,0.1216,0.03759,10.49,10.94,0.446,0.1861,0.3535,0.1674,0.08474,0.04453,-0.03716,0.9743,0.096876003
19380,"Dayton, OH",-0.003959,-0.0807,-0.02559,0.0448,0.06149,-0.08418,0.1905,0.192,13.58,13.58,0.09519,0.1877,0.09251,10.55,10.89,0.3459,0.1508,0.3104,0.1596,0.1197,0.05825,-0.05073,0.04264,0.12898
19660,"Deltona-Daytona Beach-Ormond Beach, FL",0.9361,-0.08819,-0.003747,0.04549,0.04644,-0.03481,0.1267,0.07328,13.44,12.5,0.2213,0.2653,0.04397,10.2,10.77,0.5705,0.1253,0.2638,0.1385,0.1063,0.05986,-0.04184,1.057,0.080306999
19740,"Denver-Aurora-Lakewood, CO",0.6843,-0.07388,-0.001681,0.03893,0.03663,-0.0461,0.1217,0.1078,14.87,14.19,0.07898,0.14,0.06107,10.57,11.11,0.537,0.2221,0.4494,0.2273,0.09419,0.05755,-0.03364,0.7598,0.085031003
19780,"Des Moines-West Des Moines, IA",0.5512,-0.06164,-0.006163,0.05264,0.01516,-0.02002,0.08783,0.1011,13.43,12.88,0.1098,0.1407,0.03084,10.52,11,0.4823,0.1631,0.3845,0.2214,0.08037,0.06521,-0.00813,0.6287,0.072663002
19820,"Detroit-Warren-Dearborn, MI",-0.01178,-0.0777,-0.03486,0.07394,0.03861,-0.06734,0.1799,0.2238,15.27,15.29,0.09514,0.1766,0.08145,10.7,10.96,0.2536,0.1303,0.3158,0.1855,0.09673,0.05811,-0.03779,0.04831,0.14128999
21340,"El Paso, TX",0.5758,-0.07321,-0.002337,0.03501,0.04053,-0.07966,0.1552,0.125,13.66,13.09,0.06595,0.13,0.06406,10.19,10.59,0.4065,0.126,0.2317,0.1056,0.08513,0.0446,-0.04048,0.6714,0.114677
22220,"Fayetteville-Springdale-Rogers, AR-MO",1.053,-0.07341,-0.01194,0.06338,0.02196,-0.08702,0.1724,0.1805,13.28,12.23,0.1326,0.1323,-0.0002706,10.15,10.82,0.6787,0.1395,0.3128,0.1732,0.06889,0.04693,-0.02041,1.211,0.15041
23420,"Fresno, CA",0.6582,-0.05106,-0.01152,0.04424,0.01834,-0.02655,0.08913,0.08046,13.81,13.15,0.09999,0.1276,0.02765,10.36,10.82,0.4571,0.1426,0.214,0.07144,0.07241,0.05407,-0.01842,0.6909,0.07079
24340,"Grand Rapids-Wyoming, MI",0.4271,-0.08188,-0.02749,0.04547,0.06389,-0.0664,0.1758,0.2366,13.88,13.45,0.09979,0.1586,0.05885,10.55,10.89,0.3468,0.1355,0.3259,0.1903,0.118,0.05407,-0.05111,0.4876,0.11188
24660,"Greensboro-High Point, NC",0.4276,-0.003719,0.00144,-0.05904,0.06131,-0.1762,0.1784,0.2991,13.53,13.11,0.1028,0.1729,0.07011,10.33,10.76,0.433,0.1489,0.2981,0.1492,0.09954,0.03823,-0.06173,0.3532,0.117169
24860,"Greenville-Anderson-Mauldin, SC",0.5243,-0.02937,0.002066,-0.02352,0.05082,-0.1739,0.2012,0.3097,13.75,13.22,0.09895,0.1766,0.07761,10.29,10.83,0.532,0.1288,0.3201,0.1913,0.0891,0.03828,-0.05044,0.5079,0.15038399
25420,"Harrisburg-Carlisle, PA",0.267,-0.07024,-0.003307,0.006224,0.06733,-0.09094,0.1645,0.1485,13.28,13.01,0.1162,0.189,0.07286,10.5,10.93,0.4338,0.1473,0.3417,0.1944,0.1217,0.05442,-0.0545,0.27,0.097157001
25540,"Hartford-West Hartford-East Hartford, CT",0.05256,-0.07291,0.005982,0.02171,0.04522,-0.115,0.182,0.213,13.92,13.87,0.1138,0.186,0.0722,10.56,11.08,0.5267,0.1906,0.4004,0.2098,0.1115,0.06625,-0.03888,0.09108,0.13670801
26420,"Houston-The Woodlands-Sugar Land, TX",0.8387,-0.02708,0.01475,-0.01872,0.03104,-0.07093,0.08325,0.1438,15.8,14.96,0.06391,0.1222,0.05828,10.59,10.91,0.3194,0.1935,0.3196,0.1261,0.0802,0.04916,-0.03277,0.8143,0.052220002
26900,"Indianapolis-Carmel-Anderson, IN",0.4441,-0.07034,-0.01941,0.04072,0.04903,-0.1021,0.1919,0.2037,14.56,14.11,0.09942,0.147,0.04762,10.51,10.94,0.4264,0.1405,0.3525,0.212,0.1088,0.05972,-0.04464,0.505,0.14282
27260,"Jacksonville, FL",0.8028,-0.08684,-0.00473,0.04395,0.04762,-0.03694,0.1285,0.0765,14.31,13.51,0.09635,0.1716,0.07521,10.37,10.9,0.5285,0.1264,0.3356,0.2092,0.09826,0.05064,-0.04278,0.8772,0.08089
28140,"Kansas City, MO-KS",0.3859,-0.06891,-0.008737,0.03603,0.04162,-0.06425,0.1419,0.1381,14.59,14.21,0.1079,0.1594,0.05149,10.52,10.93,0.4109,0.1627,0.3633,0.2006,0.102,0.06039,-0.03424,0.4353,0.100277
28940,"Knoxville, TN",0.381,-0.07231,-0.02425,0.04502,0.05154,-0.06951,0.1661,0.1576,13.72,13.34,0.1139,0.1898,0.07587,10.31,10.82,0.5124,0.1463,0.2944,0.1481,0.1024,0.05086,-0.04749,0.4383,0.11453
29460,"Lakeland-Winter Haven, FL",0.8746,-0.05754,-0.002038,0.02803,0.03155,-0.05532,0.1149,0.1066,13.56,12.68,0.1429,0.1959,0.053,10.24,10.65,0.417,0.1063,0.2075,0.1013,0.07873,0.04719,-0.0316,0.9188,0.083347999
29820,"Las Vegas-Henderson-Paradise, NV",1.605,-0.006327,0.0006502,-0.02106,0.02674,0.002055,0.003622,0.027,14.65,13.05,0.07563,0.1575,0.08182,10.45,10.78,0.3318,0.1154,0.2418,0.1264,0.06449,0.03775,-0.03199,1.534,-0.0231182
30780,"Little Rock-North Little Rock-Conway, AR",0.4051,-0.01282,-0.001746,-0.04659,0.06116,-0.08179,0.09637,0.1373,13.52,13.11,0.1004,0.1656,0.06522,10.36,10.8,0.4363,0.1491,0.2944,0.1452,0.1338,0.07263,-0.05273,0.3869,0.035195999
31080,"Los Angeles-Long Beach-Anaheim, CA",0.2941,-0.0503,0.004009,0.02229,0.024,-0.1168,0.1631,0.1886,16.35,16.06,0.09551,0.1529,0.05744,10.56,10.98,0.4243,0.1793,0.3443,0.165,0.08024,0.05624,-0.02456,0.3393,0.139091
31140,"Louisville/Jefferson County, KY-IN",0.2343,-0.09499,-0.01631,0.06004,0.05127,-0.08792,0.1992,0.1991,14.07,13.84,0.1051,0.1709,0.06573,10.46,10.87,0.4059,0.1231,0.3189,0.1958,0.1054,0.05416,-0.0369,0.3361,0.14794999
31540,"Madison, WI",0.4719,-0.06563,-0.0195,0.05755,0.02758,0.001015,0.08411,0.0954,13.41,12.94,0.09633,0.162,0.06564,10.46,11.03,0.5719,0.2476,0.4648,0.2172,0.1083,0.08071,-0.02288,0.5271,0.056535002
32580,"McAllen-Edinburg-Mission, TX",1.136,-0.06514,-0.006263,0.0103,0.06111,-0.03483,0.1062,0.07942,13.69,12.55,0.09164,0.1144,0.02281,9.957,10.55,0.5919,0.09872,0.1797,0.08099,0.09179,0.03069,-0.07689,1.223,0.045123
32820,"Memphis, TN-MS-AR",0.2701,-0.06104,-0.00734,0.03051,0.03787,-0.04761,0.116,0.1272,14.09,13.82,0.09528,0.1526,0.05737,10.34,10.79,0.4519,0.1319,0.2866,0.1548,0.1008,0.06296,-0.04176,0.344,0.078120001
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0.7626,-0.07389,0.01024,0.02039,0.04326,-0.05196,0.1156,0.08875,15.04,14.28,0.2243,0.2094,-0.01492,10.45,10.86,0.4145,0.1516,0.356,0.2043,0.1023,0.05899,-0.04157,0.894,0.072350003
33340,"Milwaukee-Waukesha-West Allis, WI",0.09418,-0.06403,-0.01093,0.03605,0.03891,-0.1004,0.1754,0.2428,14.24,14.15,0.111,0.1709,0.05992,10.64,10.96,0.3185,0.1597,0.3581,0.1983,0.1098,0.07088,-0.0348,0.1223,0.13644999
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0.4786,-0.07131,-0.003267,0.0355,0.03907,-0.06273,0.1373,0.1805,15.11,14.63,0.09701,0.1537,0.05665,10.62,11.08,0.4644,0.1973,0.4136,0.2163,0.1049,0.06581,-0.02855,0.5227,0.098237
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",0.7472,-0.07756,-0.01517,0.0511,0.04163,-0.08061,0.1733,0.1573,14.53,13.78,0.1074,0.1416,0.03426,10.35,10.92,0.5718,0.1498,0.3755,0.2257,0.1042,0.06258,-0.03973,0.8361,0.13170999
35300,"New Haven-Milford, CT",0.2661,-0.04837,0.005436,-0.009332,0.05226,-0.1318,0.1747,0.2212,13.81,13.54,0.1271,0.1845,0.0574,10.51,11.04,0.5309,0.1709,0.3446,0.1737,0.1255,0.0732,-0.04955,0.2941,0.122474
35380,"New Orleans-Metairie, LA",-0.06206,-0.1017,0.008169,0.03937,0.0542,-0.03724,0.1308,0.08838,14.02,14.08,0.09039,0.179,0.08857,10.43,10.83,0.3922,0.1493,0.3167,0.1674,0.1103,0.05613,-0.04937,0.01267,0.076571003
35620,"New York-Newark-Jersey City, NY-NJ-PA",0.1647,-0.09825,-0.000932,0.0612,0.03798,-0.08746,0.1866,0.129,16.81,16.64,0.1216,0.1707,0.04905,10.57,11.13,0.5568,0.1828,0.4085,0.2257,0.102,0.06402,-0.04196,0.2518,0.148662
35840,"North Port-Sarasota-Bradenton, FL",0.9173,-0.05585,-0.0007031,0.03469,0.02186,-0.02357,0.08012,0.08,13.68,12.77,0.2872,0.3321,0.04497,10.33,10.88,0.5491,0.1486,0.3631,0.2145,0.09056,0.0687,-0.02025,1.051,0.058263101
36260,"Ogden-Clearfield, UT",0.766,-0.07454,-0.01806,0.05309,0.03951,-0.008324,0.1009,0.1044,13.47,12.7,0.06916,0.1147,0.0455,10.44,10.97,0.53,0.1546,0.3003,0.1456,0.08307,0.04356,-0.03922,0.9151,0.061414
