metro13,metro_title,change_ln_population,not_lbfr_share_prime_change,unemployed_share_prime_change,non_hc_share_prime_change,hc_emp_share_prime_change,manu_share_prime_change,non_manu_share_prime_change,manufacturing_share_prime1980,ln_msa_pop2022,ln_msa_pop1980,medicare_share1980,medicare_share2022,change_medicare_share,ln_aearn1980,ln_aearn2022,change_earnings,college1980,college2022,change_college,healthcare_share_prime2022,healthcare_share_prime1980,change_non_hc_share_lbfr,change_ln_non_hc,non_hc_manu_share_prime_change,gdp_growth_2019_percent,gdp_growth_2020_percent,gdp_growth_2021_percent,gdp_growth_2022_percent,gdp_growth_2023_percent
45300,"Tampa-St. Petersburg-Clearwater, FL",0.6935,-0.07555,-8.194e-05,0.03077,0.04487,-0.05233,0.128,0.09585,14.99,14.29,0.215,0.2025,-0.01252,10.32,10.89,0.5699,0.1295,0.3247,0.1952,0.1073,0.0624,-0.04463,0.8546,0.083091937,3.7,1.0,8.8,5.9,4.3
45780,"Toledo, OH",-0.05153,-0.07637,-0.04145,0.06773,0.05009,-0.05427,0.1721,0.195,13.28,13.33,0.1096,0.1738,0.06417,10.54,10.85,0.3143,0.1373,0.2851,0.1478,0.1176,0.06751,-0.04702,0.006024,0.122,3.6,-6.6,8.5,-0.3,2.3
46060,"Tucson, AZ",0.6614,-0.06386,0.0009197,0.03602,0.02692,-0.002627,0.06556,0.07095,13.84,13.18,0.1165,0.2125,0.09604,10.37,10.82,0.4532,0.1975,0.3262,0.1287,0.09195,0.06503,-0.03368,0.6927,0.038647301,3.5,-0.3,5.7,1.4,4.6
46140,"Tulsa, OK",0.3555,-0.04739,0.008228,-0.007115,0.04628,-0.06657,0.1057,0.156,13.83,13.48,0.1061,0.1633,0.05717,10.45,10.79,0.3449,0.1535,0.2755,0.122,0.09892,0.05264,-0.04479,0.3549,0.059452001,-2.1,-5.4,3.9,1.0,4.4
46520,"Urban Honolulu, HI",0.232,-0.03972,-0.0007238,-0.0002849,0.04073,-0.02176,0.0622,0.04946,13.78,13.54,0.07245,0.1978,0.1253,10.47,10.95,0.4761,0.1948,0.3509,0.1561,0.08635,0.04562,-0.0463,0.1981,0.021473801,-0.6,-8.5,4.5,2.6,2.4
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",0.3525,-0.06814,-0.0008174,0.03105,0.03791,-0.04528,0.1142,0.1072,14.36,14.01,0.0785,0.1617,0.08322,10.33,10.87,0.5376,0.1373,0.3181,0.1808,0.08881,0.0509,-0.03976,0.3924,0.076327398,1.2,-0.7,5.0,1.9,3.2
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.6018,-0.06033,0.002283,0.03789,0.02016,-0.006818,0.06487,0.03223,15.65,15.05,0.0768,0.1437,0.06689,10.67,11.23,0.5548,0.2813,0.4991,0.2178,0.07075,0.05059,-0.01901,0.6537,0.044705,1.8,-1.6,5.1,2.3,2.7
48620,"Wichita, KS",0.3014,-0.04158,0.0192,0.006006,0.01637,-0.1039,0.1263,0.2427,13.37,13.07,0.1075,0.1616,0.05413,10.49,10.76,0.2752,0.16,0.2932,0.1332,0.08197,0.06561,-0.01459,0.3115,0.10991,-0.2,-2.9,2.8,2.9,2.8
49180,"Winston-Salem, NC",0.4209,0.003533,0.004468,-0.08268,0.07468,-0.1934,0.1854,0.3093,13.42,13.0,0.1022,0.186,0.08379,10.34,10.78,0.4411,0.1284,0.2859,0.1575,0.126,0.05134,-0.07418,0.3126,0.110719,1.4,-6.0,6.9,2.5,1.3
49340,"Worcester, MA-CT",0.2309,-0.04969,0.003451,0.01882,0.02742,-0.1593,0.2056,0.2597,13.74,13.51,0.1276,0.1717,0.04405,10.44,11.05,0.6015,0.1441,0.3408,0.1967,0.09974,0.07232,-0.02726,0.3273,0.178119,1.6,-1.4,5.3,1.8,0.5
